id,birth_year,gender,industry,ind_detail,occupation,occ_detail,org_size,occupation_1,household,tenure,location,time_ly,org_encouraged,org_prepared,org_common,permission,collaboration,recommend,pref_time_ly,time_3m,time_3m_1,time_3m_2,time_3m_3,time_3m_4,time_3m_5,time_3m_6,pref_time_3m,pref_time_future,org_encourage_future,org_support_future,choice_future,productivity,commute_time,work_time,family_time,caring_time,commute_time_1,work_time_1,family_time_1,caring_time_1,best_aspect,worst_aspect,best_aspect_1,worst_aspect_1,best_aspect_2,worst_aspect_2,best_aspect_3,worst_aspect_3,best_aspect_4,worst_aspect_4,best_aspect_5,worst_aspect_5,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
439,1973,female,administrative and support services,administrative services,clerical and administrative,personal assistants and secretaries,more than 200,yes,single person,between 6 and 12 months,metro,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,5,5,5,my productivity is about same when i work remotely,1.5,9.0,5.0,7.0,2.0,10.0,4.0,5.0,my working relationships,my work-life balance,my working relationships,my mental wellbeing,my daily expenses,my job satisfaction,managing my personal commitments,my opportunities to socialise,my daily expenses,the number of hours  i work,my daily expenses,managing my personal commitments,caring responsibilities,lack of motivation,connectivity (internet connection),"it equipment (computer, printer, etc.)",connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",47
440,1984,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,education professionals,more than 200,no,single person,between 1 and 5 years,metro,20%,3.0,3.0,3.0,3.0,4.0,2.0,50% - about half of my time,70%,5.0,4.0,5.0,4.0,4.0,3.0,40%,50% - about half of my time,3,4,3,i 20% less productive when working remotely,2.5,7.0,3.0,1.0,0.5,7.0,3.0,1.0,preparing for work and commuting,my on-the-job learning opportunities,preparing for work and commuting,my working relationships,preparing for work and commuting,my job satisfaction,the number of hours  i work,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my job satisfaction,poor management,lack of motivation,i have tasks that can't be done remotely,"it equipment (computer, printer, etc.)",lack of motivation,feeling left out and/or isolated,36
441,1967,male,public administration and safety,public administration,professionals,"design, engineering, science and transport professionals",more than 200,yes,single person,between 6 and 12 months,metro,80%,5.0,4.0,5.0,5.0,4.0,4.0,70%,90%,5.0,4.0,5.0,5.0,4.0,5.0,60%,50% - about half of my time,4,5,4,my productivity is about same when i work remotely,1.0,9.0,4.0,0.0,0.0,9.0,5.0,0.0,preparing for work and commuting,my work-life balance,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my daily expenses,my opportunities to socialise,difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),53
442,1964,male,financial and insurance services,finance,professionals,"business, human resource and marketing professionals",between 20 and 199,no,couple with no dependent children,between 1 and 5 years,metro,less than 10% of my time,4.0,5.0,4.0,4.0,4.0,5.0,50% - about half of my time,30%,5.0,5.0,5.0,5.0,4.0,5.0,50% - about half of my time,40%,1,2,1,my productivity is about same when i work remotely,2.0,8.0,2.0,1.0,0.5,9.0,3.0,2.0,the number of hours  i work,preparing for work and commuting,managing my family responsibilities,my opportunities to socialise,managing my family responsibilities,preparing for work and commuting,managing my personal commitments,the number of hours  i work,my work-life balance,the number of hours  i work,my daily expenses,my opportunities to socialise,"it equipment (computer, printer, etc.)",lack of motivation,i have tasks that can't be done remotely,feeling left out and/or isolated,connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",56
443,1963,female,other services,personal and other services,sales,sales representatives and agents,between 20 and 199,no,couple with no dependent children,more than 5 years,metro,100% - i spent all of my time remote working,4.0,5.0,4.0,3.0,5.0,4.0,100% - all of my time,100% - i spent all of my time remote working,3.0,5.0,4.0,3.0,5.0,4.0,100% - all of my time,100% - all of my time,4,3,4,i 20% more productive when working remotely,4.0,7.0,0.5,0.0,0.0,8.0,0.5,0.5,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,my daily expenses,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,my on-the-job learning opportunities,my daily expenses,my opportunities to socialise,"it equipment (computer, printer, etc.)",connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",feeling left out and/or isolated,lack of motivation,feeling left out and/or isolated,57
444,1961,male,financial and insurance services,finance,managers,specialist managers,between 20 and 199,yes,couple with dependent children,more than 5 years,metro,10%,3.0,5.0,4.0,4.0,4.0,4.0,20%,100% - i spent all of my time remote working,5.0,4.0,4.0,5.0,5.0,5.0,80%,80%,4,4,4,i 10% more productive when working remotely,3.5,8.0,3.0,1.5,0.5,9.0,5.0,1.5,my work-life balance,the number of hours  i work,managing my personal commitments,my opportunities to socialise,managing my family responsibilities,my working relationships,my work-life balance,the number of hours  i work,my work-life balance,the number of hours  i work,managing my personal commitments,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,my organisation's software and systems,"it equipment (computer, printer, etc.)",lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",59
445,1971,female,public administration and safety,"public order, safety and regulatory services",managers,"chief executives, general managers and legislators",more than 200,yes,single person,more than 5 years,regional,less than 10% of my time,1.0,2.0,1.0,3.0,3.0,3.0,less than 10% of my time,rarely or never,,,,,,,less than 10% of my time,less than 10% of my time,1,1,1,i 10% less productive when working remotely,0.5,10.0,4.0,1.0,0.0,7.0,5.0,2.0,preparing for work and commuting,my on-the-job learning opportunities,preparing for work and commuting,my working relationships,preparing for work and commuting,my job satisfaction,the number of hours  i work,my on-the-job learning opportunities,the number of hours  i work,my job satisfaction,managing my personal commitments,my job satisfaction,feeling left out and/or isolated,lack of motivation,i have tasks that can't be done remotely,caring responsibilities,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",49
446,1994,male,"professional, scientific and technical services","professional, scientific and technical services",professionals,health professionals,between 20 and 199,yes,couple with no dependent children,between 1 and 5 years,regional,less than 10% of my time,2.0,4.0,2.0,4.0,2.0,4.0,less than 10% of my time,less than 10% of my time,2.0,2.0,2.0,4.0,4.0,2.0,less than 10% of my time,less than 10% of my time,2,2,2,my productivity is about same when i work remotely,2.0,8.0,2.0,2.0,0.0,8.0,2.0,2.0,managing my family responsibilities,my work-life balance,managing my personal commitments,my mental wellbeing,managing my family responsibilities,my job satisfaction,the number of hours  i work,my on-the-job learning opportunities,my job satisfaction,my daily expenses,my personal relationships,my daily expenses,"it equipment (computer, printer, etc.)",cyber security,i have tasks that can't be done remotely,caring responsibilities,feeling left out and/or isolated,feeling left out and/or isolated,26
447,1978,male,wholesale trade,other goods wholesaling,professionals,"business, human resource and marketing professionals",between 20 and 199,yes,single person,more than 5 years,metro,50% - i spent about half of my time remote working,1.0,3.0,1.0,3.0,3.0,3.0,less than 10% of my time,100% - i spent all of my time remote working,5.0,3.0,1.0,5.0,4.0,3.0,100% - all of my time,70%,2,3,3,i 20% more productive when working remotely,2.0,9.0,3.5,2.0,0.5,9.0,4.5,2.5,my work-life balance,my working relationships,managing my personal commitments,my working relationships,my personal relationships,my working relationships,the number of hours  i work,my on-the-job learning opportunities,the number of hours  i work,my on-the-job learning opportunities,managing my personal commitments,my mental wellbeing,poor management,poor management,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,42
448,1966,female,manufacturing,furniture and other manufacturing,managers,specialist managers,between 20 and 199,no,couple with no dependent children,between 1 and 5 years,metro,20%,2.0,2.0,2.0,2.0,4.0,3.0,20%,60%,5.0,5.0,4.0,4.0,4.0,3.0,20%,20%,4,4,4,i 10% more productive when working remotely,2.0,8.0,3.0,1.0,0.45,9.0,3.0,1.0,preparing for work and commuting,my work-life balance,preparing for work and commuting,my mental wellbeing,preparing for work and commuting,my job satisfaction,my opportunities to socialise,my mental wellbeing,my daily expenses,the number of hours  i work,my daily expenses,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,difficulty collaborating remotely,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",54
449,1965,male,manufacturing,furniture and other manufacturing,managers,"chief executives, general managers and legislators",more than 200,yes,couple with no dependent children,more than 5 years,metro,rarely or never,,,,,,,50% - about half of my time,100% - i spent all of my time remote working,5.0,1.0,1.0,4.0,2.0,4.0,50% - about half of my time,50% - about half of my time,4,3,4,i 50% more productive when working remotely (or more),1.0,9.0,2.0,2.0,2.0,12.0,5.0,5.0,the number of hours  i work,my work-life balance,managing my family responsibilities,managing my personal commitments,my job satisfaction,my personal relationships,the number of hours  i work,my opportunities to socialise,the number of hours  i work,my personal relationships,my job satisfaction,managing my personal commitments,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),"it equipment (computer, printer, etc.)",feeling left out and/or isolated,my organisation's software and systems,55
450,1965,male,"electricity, gas, water and waste services","water supply, sewerage and drainage services",managers,specialist managers,more than 200,yes,couple with no dependent children,between 1 and 5 years,metro,50% - i spent about half of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,80%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,80%,5,5,5,i 50% more productive when working remotely (or more),2.0,6.0,4.0,6.0,1.0,8.0,2.0,4.0,my work-life balance,my working relationships,managing my personal commitments,my opportunities to socialise,preparing for work and commuting,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,the number of hours  i work,my job satisfaction,my opportunities to socialise,"it equipment (computer, printer, etc.)",cyber security,my organisation's software and systems,difficulty collaborating remotely,lack of motivation,poor management,55
451,1960,female,health care and social assistance,hospitals,professionals,ict professionals,more than 200,no,couple with no dependent children,more than 5 years,metro,10%,3.0,4.0,2.0,4.0,4.0,3.0,30%,80%,5.0,5.0,5.0,5.0,4.0,4.0,80%,80%,4,5,5,i 50% more productive when working remotely (or more),1.0,7.0,4.0,2.0,0.0,8.0,4.0,2.0,my work-life balance,my working relationships,managing my personal commitments,my opportunities to socialise,managing my family responsibilities,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,my daily expenses,managing my personal commitments,my opportunities to socialise,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),feeling left out and/or isolated,feeling left out and/or isolated,i have tasks that can't be done remotely,60
452,1988,male,retail trade,other store-based retailing,managers,specialist managers,more than 200,yes,couple with no dependent children,between 1 and 5 years,metro,20%,1.0,4.0,2.0,3.0,3.0,4.0,40%,60%,2.0,4.0,4.0,2.0,4.0,4.0,40%,30%,1,3,4,my productivity is about same when i work remotely,1.5,10.0,4.0,1.0,0.5,10.0,5.0,2.0,my work-life balance,my working relationships,preparing for work and commuting,my opportunities to socialise,my daily expenses,my working relationships,my work-life balance,the number of hours  i work,my daily expenses,the number of hours  i work,my personal relationships,my opportunities to socialise,poor management,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)","it equipment (computer, printer, etc.)",connectivity (internet connection),connectivity (internet connection),32
453,1958,female,"agriculture, forestry and fishing",agriculture,managers,specialist managers,more than 200,yes,couple with no dependent children,more than 5 years,metro,50% - i spent about half of my time remote working,4.0,4.0,4.0,4.0,4.0,4.0,50% - about half of my time,50% - i spent about half of my time remote working,4.0,4.0,4.0,4.0,4.0,4.0,50% - about half of my time,50% - about half of my time,4,4,4,my productivity is about same when i work remotely,2.0,9.0,2.0,2.0,0.5,10.0,2.0,2.0,the number of hours  i work,my on-the-job learning opportunities,my opportunities to socialise,my working relationships,my daily expenses,my working relationships,the number of hours  i work,my mental wellbeing,the number of hours  i work,my job satisfaction,my daily expenses,my job satisfaction,caring responsibilities,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",poor management,lack of motivation,i have tasks that can't be done remotely,62
454,1959,female,financial and insurance services,finance,clerical and administrative,clerical and office support,between 5 and 19,no,single person,between 6 and 12 months,regional,rarely or never,,,,,,,i would not have preferred to work remotely,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,4.0,3.0,100% - all of my time,40%,3,4,4,my productivity is about same when i work remotely,1.0,7.0,2.0,1.5,0.5,7.0,2.0,2.0,preparing for work and commuting,my working relationships,managing my family responsibilities,my working relationships,managing my family responsibilities,my working relationships,managing my personal commitments,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),61
455,1959,male,"electricity, gas, water and waste services","waste collection, treatment and disposal services",sales,sales assistants and salespersons,more than 200,no,couple with no dependent children,between 1 and 5 years,metro,40%,4.0,4.0,4.0,4.0,3.0,5.0,60%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,50% - about half of my time,60%,5,5,5,i 20% more productive when working remotely,2.0,9.0,2.0,1.0,0.5,9.0,3.5,1.0,my work-life balance,the number of hours  i work,preparing for work and commuting,my opportunities to socialise,my job satisfaction,my working relationships,my opportunities to socialise,the number of hours  i work,my personal relationships,the number of hours  i work,my personal relationships,my opportunities to socialise,poor management,poor management,my organisation's software and systems,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,61
456,1963,female,manufacturing,beverage and tobacco product manufacturing,managers,"chief executives, general managers and legislators",between 20 and 199,no,one  parent family with dependent children,between 6 and 12 months,metro,40%,3.0,4.0,4.0,3.0,3.0,4.0,20%,20%,4.0,1.0,3.0,2.0,3.0,2.0,80%,80%,3,4,4,i 40% more productive when working remotely,0.2,7.0,2.0,3.0,1.0,8.0,5.0,1.0,preparing for work and commuting,managing my family responsibilities,preparing for work and commuting,managing my family responsibilities,my daily expenses,my personal relationships,managing my personal commitments,my opportunities to socialise,my personal relationships,my work-life balance,my job satisfaction,my opportunities to socialise,poor management,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",connectivity (internet connection),feeling left out and/or isolated,i have tasks that can't be done remotely,57
457,1996,female,health care and social assistance,hospitals,professionals,health professionals,more than 200,yes,couple with dependent children,between 1 and 5 years,metro,less than 10% of my time,5.0,4.0,5.0,5.0,4.0,4.0,less than 10% of my time,20%,5.0,5.0,5.0,5.0,4.0,5.0,20%,i would prefer not to work remotely,2,1,5,my productivity is about same when i work remotely,0.5,14.0,4.0,2.0,0.5,14.0,4.0,2.0,my working relationships,managing my family responsibilities,my working relationships,managing my family responsibilities,my working relationships,managing my family responsibilities,managing my personal commitments,my mental wellbeing,my personal relationships,my daily expenses,my personal relationships,my mental wellbeing,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),poor management,poor management,poor management,24
458,1984,male,information media and telecommunications,publishing (except internet and music publishing),professionals,arts and media professionals,between 5 and 19,yes,couple with no dependent children,between 6 and 12 months,metro,rarely or never,,,,,,,30%,30%,3.0,4.0,2.0,4.0,2.0,3.0,30%,30%,4,4,4,my productivity is about same when i work remotely,2.0,8.0,3.0,2.0,0.0,9.0,4.0,3.0,my work-life balance,my working relationships,my opportunities to socialise,my mental wellbeing,preparing for work and commuting,my working relationships,managing my personal commitments,my opportunities to socialise,my daily expenses,my personal relationships,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)","it equipment (computer, printer, etc.)",lack of motivation,my organisation's software and systems,36
459,1959,male,"professional, scientific and technical services","professional, scientific and technical services",managers,specialist managers,more than 200,yes,couple with no dependent children,between 1 and 5 years,metro,20%,4.0,3.0,4.0,3.0,4.0,4.0,40%,100% - i spent all of my time remote working,5.0,4.0,5.0,4.0,5.0,5.0,100% - all of my time,80%,4,5,5,i 50% more productive when working remotely (or more),3.0,9.0,4.0,1.0,0.0,10.0,6.0,2.0,my work-life balance,the number of hours  i work,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my working relationships,my work-life balance,the number of hours  i work,my work-life balance,the number of hours  i work,my job satisfaction,my opportunities to socialise,"it equipment (computer, printer, etc.)",lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",poor management,poor management,poor management,61
460,1961,male,other services,personal and other services,clerical and administrative,office managers and program administrators,more than 200,yes,couple with no dependent children,more than 5 years,regional,50% - i spent about half of my time remote working,2.0,5.0,4.0,4.0,5.0,4.0,50% - about half of my time,70%,4.0,5.0,5.0,4.0,5.0,4.0,90%,50% - about half of my time,2,2,3,i 10% more productive when working remotely,4.0,7.5,4.0,2.0,0.5,8.0,6.0,3.0,my work-life balance,my working relationships,my mental wellbeing,my opportunities to socialise,my job satisfaction,managing my family responsibilities,the number of hours  i work,my opportunities to socialise,the number of hours  i work,my personal relationships,my job satisfaction,my personal relationships,"it equipment (computer, printer, etc.)",lack of motivation,i have tasks that can't be done remotely,connectivity (internet connection),lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",59
461,1980,male,administrative and support services,administrative services,clerical and administrative,other clerical and administrative,more than 200,no,couple with no dependent children,between 1 and 5 years,metro,rarely or never,,,,,,,100% - all of my time,80%,4.0,4.0,2.0,1.0,5.0,5.0,100% - all of my time,90%,2,1,2,i 30% more productive when working remotely,2.0,8.0,3.0,1.0,0.5,8.0,4.0,1.0,preparing for work and commuting,my on-the-job learning opportunities,my mental wellbeing,my working relationships,my job satisfaction,my working relationships,my mental wellbeing,my on-the-job learning opportunities,my job satisfaction,my on-the-job learning opportunities,my mental wellbeing,managing my personal commitments,poor management,poor management,poor management,"it equipment (computer, printer, etc.)",lack of motivation,connectivity (internet connection),40
462,1972,female,health care and social assistance,social assistance services,community and personal service,carers and aides,i am the only employee,no,couple with no dependent children,between 1 and 5 years,metro,20%,4.0,3.0,2.0,4.0,2.0,3.0,50% - about half of my time,20%,4.0,2.0,2.0,4.0,2.0,4.0,50% - about half of my time,50% - about half of my time,1,1,1,i 10% less productive when working remotely,1.0,8.0,2.0,5.0,0.0,7.0,4.0,7.0,my on-the-job learning opportunities,managing my family responsibilities,managing my family responsibilities,my mental wellbeing,my daily expenses,managing my family responsibilities,my on-the-job learning opportunities,the number of hours  i work,the number of hours  i work,my personal relationships,my daily expenses,my mental wellbeing,poor management,lack of motivation,i have tasks that can't be done remotely,difficulty collaborating remotely,connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",48
463,1965,male,financial and insurance services,finance,sales,sales representatives and agents,more than 200,yes,couple with no dependent children,more than 5 years,metro,50% - i spent about half of my time remote working,2.0,4.0,3.0,4.0,2.0,3.0,40%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,2.0,5.0,10%,20%,4,4,4,my productivity is about same when i work remotely,1.0,8.0,3.0,2.0,1.0,9.0,2.0,2.0,my work-life balance,my working relationships,managing my personal commitments,my opportunities to socialise,preparing for work and commuting,my personal relationships,my work-life balance,my opportunities to socialise,my work-life balance,the number of hours  i work,managing my personal commitments,my opportunities to socialise,connectivity (internet connection),connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",poor management,feeling left out and/or isolated,poor management,55
464,1970,male,education and training,tertiary education,managers,specialist managers,more than 200,yes,couple with dependent children,between 6 and 12 months,metro,less than 10% of my time,4.0,5.0,4.0,4.0,4.0,4.0,less than 10% of my time,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,4.0,4.0,less than 10% of my time,less than 10% of my time,4,4,4,i 10% less productive when working remotely,0.5,9.0,2.0,5.0,0.0,10.0,1.0,1.0,preparing for work and commuting,the number of hours  i work,preparing for work and commuting,managing my family responsibilities,preparing for work and commuting,managing my family responsibilities,my on-the-job learning opportunities,the number of hours  i work,my daily expenses,my job satisfaction,my mental wellbeing,my opportunities to socialise,caring responsibilities,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),poor management,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",50
465,1988,male,retail trade,non-store retailing and retail commission-based buying and/or selling,managers,"chief executives, general managers and legislators",i am the only employee,no,group household,more than 5 years,regional,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,5,5,5,my productivity is about same when i work remotely,0.0,6.0,2.0,1.0,0.0,6.0,2.0,1.0,the number of hours  i work,my work-life balance,my mental wellbeing,my working relationships,my job satisfaction,my daily expenses,my work-life balance,my opportunities to socialise,my job satisfaction,the number of hours  i work,my job satisfaction,my mental wellbeing,"it equipment (computer, printer, etc.)",feeling left out and/or isolated,feeling left out and/or isolated,poor management,poor management,poor management,32
466,1980,female,information media and telecommunications,telecommunications services,professionals,"business, human resource and marketing professionals",more than 200,no,couple with no dependent children,between 1 and 5 years,metro,20%,5.0,5.0,5.0,5.0,4.0,4.0,20%,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,4.0,5.0,20%,40%,5,4,5,i 30% more productive when working remotely,1.0,8.5,5.0,1.0,0.0,10.0,5.0,1.0,preparing for work and commuting,the number of hours  i work,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my job satisfaction,managing my personal commitments,the number of hours  i work,my daily expenses,the number of hours  i work,managing my personal commitments,my opportunities to socialise,"it equipment (computer, printer, etc.)",connectivity (internet connection),connectivity (internet connection),difficulty collaborating remotely,poor management,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",40
467,1963,male,financial and insurance services,finance,professionals,"business, human resource and marketing professionals",more than 200,no,couple with dependent children,more than 5 years,metro,less than 10% of my time,4.0,3.0,4.0,3.0,2.0,5.0,10%,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,5.0,5.0,100% - all of my time,80%,4,4,3,i 30% more productive when working remotely,1.5,7.5,4.0,4.0,0.5,8.0,8.0,4.0,my work-life balance,my working relationships,managing my family responsibilities,my working relationships,managing my family responsibilities,my working relationships,managing my personal commitments,the number of hours  i work,my work-life balance,the number of hours  i work,managing my personal commitments,my mental wellbeing,"it equipment (computer, printer, etc.)",connectivity (internet connection),connectivity (internet connection),feeling left out and/or isolated,feeling left out and/or isolated,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",57
468,1961,male,"electricity, gas, water and waste services",electricity supply,managers,specialist managers,more than 200,yes,couple with no dependent children,more than 5 years,metro,less than 10% of my time,2.0,2.0,1.0,5.0,4.0,3.0,20%,40%,5.0,5.0,5.0,5.0,5.0,4.0,50% - about half of my time,20%,4,4,5,i 30% more productive when working remotely,1.5,9.0,0.5,4.0,0.5,11.0,1.0,4.0,preparing for work and commuting,my working relationships,managing my family responsibilities,my working relationships,preparing for work and commuting,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,the number of hours  i work,my job satisfaction,my opportunities to socialise,difficulty collaborating remotely,poor management,i have tasks that can't be done remotely,"it equipment (computer, printer, etc.)",connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",59
469,1980,male,retail trade,fuel retailing,professionals,ict professionals,more than 200,yes,single person,more than 5 years,metro,less than 10% of my time,2.0,4.0,2.0,4.0,2.0,2.0,50% - about half of my time,100% - i spent all of my time remote working,5.0,4.0,5.0,5.0,4.0,5.0,100% - all of my time,100% - all of my time,3,3,4,my productivity is about same when i work remotely,0.5,9.0,13.5,1.0,0.0,9.0,14.0,1.0,my work-life balance,my working relationships,managing my personal commitments,my opportunities to socialise,my daily expenses,my working relationships,my work-life balance,my opportunities to socialise,my daily expenses,my personal relationships,my daily expenses,my opportunities to socialise,difficulty collaborating remotely,feeling left out and/or isolated,feeling left out and/or isolated,connectivity (internet connection),poor management,i have tasks that can't be done remotely,40
470,1973,male,financial and insurance services,finance,professionals,"business, human resource and marketing professionals",more than 200,no,couple with dependent children,between 1 and 5 years,metro,50% - i spent about half of my time remote working,5.0,2.0,2.0,4.0,4.0,5.0,10%,100% - i spent all of my time remote working,5.0,2.0,5.0,5.0,4.0,5.0,10%,40%,4,4,4,i 10% less productive when working remotely,1.5,8.0,3.0,1.0,0.5,8.0,4.0,1.0,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my opportunities to socialise,my daily expenses,my working relationships,the number of hours  i work,my work-life balance,the number of hours  i work,my on-the-job learning opportunities,my daily expenses,my opportunities to socialise,"it equipment (computer, printer, etc.)",lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),47
471,2000,male,information media and telecommunications,telecommunications services,managers,specialist managers,more than 200,yes,couple with dependent children,between 1 and 5 years,metro,rarely or never,,,,,,,40%,40%,5.0,5.0,5.0,5.0,5.0,5.0,50% - about half of my time,i would prefer not to work remotely,4,5,5,i 10% more productive when working remotely,2.0,8.0,4.0,10.0,0.1,7.9,10.0,6.0,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my work-life balance,my mental wellbeing,my opportunities to socialise,poor management,poor management,poor management,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,20
472,1985,male,financial and insurance services,finance,sales,sales support,between 20 and 199,no,couple with no dependent children,between 1 and 5 years,metro,100% - i spent all of my time remote working,3.0,3.0,2.0,2.0,2.0,2.0,60%,50% - i spent about half of my time remote working,3.0,3.0,3.0,3.0,3.0,2.0,50% - about half of my time,40%,4,3,2,i 10% less productive when working remotely,1.0,1.0,2.0,8.0,1.0,6.0,2.0,7.0,my on-the-job learning opportunities,my working relationships,my working relationships,my opportunities to socialise,preparing for work and commuting,managing my family responsibilities,my work-life balance,my opportunities to socialise,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my personal relationships,"it equipment (computer, printer, etc.)",feeling left out and/or isolated,i have tasks that can't be done remotely,poor management,lack of motivation,feeling left out and/or isolated,35
473,1956,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,"business, human resource and marketing professionals",more than 200,yes,couple with no dependent children,more than 5 years,metro,30%,5.0,5.0,4.0,5.0,5.0,4.0,30%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,60%,5,3,5,i 10% more productive when working remotely,1.0,11.0,3.0,1.0,0.0,11.0,3.5,1.0,managing my family responsibilities,my working relationships,managing my personal commitments,my working relationships,managing my family responsibilities,my working relationships,managing my personal commitments,my opportunities to socialise,my job satisfaction,the number of hours  i work,managing my personal commitments,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,poor management,lack of motivation,my organisation's software and systems,64
474,1961,female,health care and social assistance,medical and other health care services,professionals,health professionals,i am the only employee,no,couple with dependent children,between 1 and 5 years,metro,20%,3.0,3.0,3.0,5.0,4.0,3.0,30%,20%,3.0,3.0,3.0,4.0,4.0,3.0,30%,30%,2,3,3,i 20% more productive when working remotely,3.0,9.0,2.0,2.0,4.0,8.0,2.0,2.0,preparing for work and commuting,managing my family responsibilities,managing my personal commitments,managing my family responsibilities,preparing for work and commuting,managing my family responsibilities,managing my personal commitments,my opportunities to socialise,my job satisfaction,my work-life balance,my job satisfaction,my opportunities to socialise,caring responsibilities,cyber security,i have tasks that can't be done remotely,difficulty collaborating remotely,feeling left out and/or isolated,feeling left out and/or isolated,59
