id,birth_year,gender,industry,ind_detail,occupation,occ_detail,org_size,occupation_1,household,tenure,location,time_ly,org_encouraged,org_prepared,org_common,permission,collaboration,recommend,pref_time_ly,time_3m,time_3m_1,time_3m_2,time_3m_3,time_3m_4,time_3m_5,time_3m_6,pref_time_3m,pref_time_future,org_encourage_future,org_support_future,choice_future,productivity,commute_time,work_time,family_time,caring_time,commute_time_1,work_time_1,family_time_1,caring_time_1,best_aspect,worst_aspect,best_aspect_1,worst_aspect_1,best_aspect_2,worst_aspect_2,best_aspect_3,worst_aspect_3,best_aspect_4,worst_aspect_4,best_aspect_5,worst_aspect_5,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
148,1991,male,financial and insurance services,finance,managers,"chief executives, general managers and legislators",more than 200,yes,couple with no dependent children,more than 5 years,metro,50% - i spent about half of my time remote working,1.0,1.0,2.0,2.0,2.0,2.0,50% - about half of my time,50% - i spent about half of my time remote working,5.0,5.0,4.0,4.0,4.0,4.0,50% - about half of my time,50% - about half of my time,5,5,4,my productivity is about same when i work remotely,2.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0,managing my family responsibilities,preparing for work and commuting,my working relationships,preparing for work and commuting,my job satisfaction,preparing for work and commuting,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my job satisfaction,difficulty collaborating remotely,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),lack of motivation,poor management,34
149,1987,male,"professional, scientific and technical services",computer system design and related services,professionals,ict professionals,more than 200,no,single person,between 1 and 5 years,metro,10%,4.0,5.0,4.0,5.0,1.0,2.0,10%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,3.0,1.0,100% - all of my time,i would prefer not to work remotely,4,3,4,my productivity is about same when i work remotely,1.0,8.0,1.0,0.5,0.0,8.0,1.0,0.5,preparing for work and commuting,my on-the-job learning opportunities,preparing for work and commuting,my mental wellbeing,my daily expenses,my personal relationships,my opportunities to socialise,my on-the-job learning opportunities,my on-the-job learning opportunities,my work-life balance,my daily expenses,my personal relationships,difficulty collaborating remotely,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",poor management,poor management,i have tasks that can't be done remotely,38
150,1993,female,accommodation and food services,food and beverage services,managers,"hospitality, retail and service managers",between 5 and 19,yes,couple with no dependent children,more than 5 years,metro,50% - i spent about half of my time remote working,4.0,4.0,4.0,4.0,2.0,4.0,20%,60%,4.0,4.0,4.0,4.0,2.0,4.0,20%,30%,2,2,4,i 40% less productive when working remotely,5.0,7.0,1.0,1.0,4.0,6.0,4.0,4.0,my work-life balance,the number of hours  i work,managing my family responsibilities,my mental wellbeing,my personal relationships,my working relationships,my opportunities to socialise,my on-the-job learning opportunities,my personal relationships,my on-the-job learning opportunities,my personal relationships,my mental wellbeing,"it equipment (computer, printer, etc.)",lack of motivation,poor management,connectivity (internet connection),lack of motivation,connectivity (internet connection),32
151,1975,male,financial and insurance services,insurance and superannuation funds,professionals,"business, human resource and marketing professionals",between 20 and 199,no,couple with dependent children,more than 5 years,metro,40%,5.0,5.0,5.0,5.0,5.0,5.0,50% - about half of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,50% - about half of my time,5,5,5,my productivity is about same when i work remotely,3.0,7.0,2.0,2.0,0.0,8.0,4.0,4.0,my work-life balance,my working relationships,managing my personal commitments,my opportunities to socialise,managing my family responsibilities,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,my personal relationships,managing my personal commitments,my personal relationships,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,"it equipment (computer, printer, etc.)",cyber security,i have tasks that can't be done remotely,50
152,1996,female,education and training,tertiary education,managers,"chief executives, general managers and legislators",more than 200,yes,couple with dependent children,between 1 and 5 years,metro,80%,3.0,4.0,3.0,4.0,4.0,5.0,50% - about half of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,5,5,5,i 50% more productive when working remotely (or more),1.0,8.0,6.0,2.0,0.0,14.0,2.0,2.0,preparing for work and commuting,the number of hours  i work,preparing for work and commuting,my mental wellbeing,preparing for work and commuting,my personal relationships,my on-the-job learning opportunities,the number of hours  i work,my on-the-job learning opportunities,the number of hours  i work,my daily expenses,my mental wellbeing,caring responsibilities,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)","it equipment (computer, printer, etc.)",feeling left out and/or isolated,my organisation's software and systems,29
153,1991,male,information media and telecommunications,telecommunications services,managers,"chief executives, general managers and legislators",more than 200,yes,couple with dependent children,between 1 and 5 years,regional,rarely or never,,,,,,,less than 10% of my time,10%,5.0,4.0,5.0,4.0,2.0,4.0,20%,20%,5,4,3,i 20% less productive when working remotely,3.0,8.0,0.0,0.0,0.0,8.0,2.0,8.0,my working relationships,my on-the-job learning opportunities,my working relationships,my mental wellbeing,my working relationships,my job satisfaction,my mental wellbeing,my work-life balance,my work-life balance,my job satisfaction,my opportunities to socialise,my daily expenses,connectivity (internet connection),feeling left out and/or isolated,my organisation's software and systems,caring responsibilities,lack of motivation,i have tasks that can't be done remotely,34
154,1990,female,health care and social assistance,residential care services,professionals,health professionals,between 1 and 4,yes,single person,more than 5 years,metro,10%,2.0,3.0,2.0,3.0,3.0,3.0,40%,30%,3.0,4.0,4.0,2.0,4.0,3.0,50% - about half of my time,50% - about half of my time,3,4,4,my productivity is about same when i work remotely,10.0,10.0,2.0,2.0,10.0,10.0,2.0,2.0,managing my family responsibilities,preparing for work and commuting,my mental wellbeing,my working relationships,managing my family responsibilities,my job satisfaction,my opportunities to socialise,my work-life balance,my personal relationships,my on-the-job learning opportunities,my personal relationships,my opportunities to socialise,connectivity (internet connection),cyber security,my organisation's software and systems,feeling left out and/or isolated,lack of motivation,feeling left out and/or isolated,35
155,1990,female,administrative and support services,administrative services,clerical and administrative,personal assistants and secretaries,more than 200,yes,couple with no dependent children,between 1 and 5 years,metro,10%,1.0,2.0,2.0,2.0,4.0,4.0,40%,60%,4.0,2.0,2.0,4.0,4.0,5.0,70%,40%,1,2,2,i 20% more productive when working remotely,3.0,8.0,2.0,2.0,1.0,8.0,2.0,3.0,preparing for work and commuting,the number of hours  i work,my mental wellbeing,my opportunities to socialise,my daily expenses,my working relationships,my work-life balance,the number of hours  i work,my work-life balance,the number of hours  i work,my daily expenses,my opportunities to socialise,"it equipment (computer, printer, etc.)",connectivity (internet connection),i have tasks that can't be done remotely,feeling left out and/or isolated,lack of motivation,feeling left out and/or isolated,35
156,1998,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,"design, engineering, science and transport professionals",more than 200,no,single person,between 1 and 5 years,metro,30%,3.0,3.0,4.0,2.0,4.0,4.0,50% - about half of my time,80%,3.0,3.0,4.0,2.0,3.0,4.0,80%,30%,2,2,3,my productivity is about same when i work remotely,2.5,5.0,4.0,2.0,0.5,7.0,8.0,3.0,preparing for work and commuting,my work-life balance,preparing for work and commuting,my mental wellbeing,preparing for work and commuting,my personal relationships,my opportunities to socialise,my mental wellbeing,my personal relationships,my work-life balance,my personal relationships,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,i have tasks that can't be done remotely,difficulty collaborating remotely,connectivity (internet connection),connectivity (internet connection),27
157,1990,male,construction,building construction,labourers,construction and mining labourers,between 20 and 199,yes,group household,between 6 and 12 months,metro,10%,4.0,4.0,4.0,3.0,4.0,4.0,10%,10%,4.0,3.0,4.0,3.0,3.0,4.0,10%,30%,4,4,4,i 20% more productive when working remotely,4.0,8.0,8.0,4.0,2.0,8.0,4.0,2.0,preparing for work and commuting,my working relationships,preparing for work and commuting,my mental wellbeing,my daily expenses,my working relationships,my on-the-job learning opportunities,my work-life balance,my daily expenses,my work-life balance,my daily expenses,my opportunities to socialise,"it equipment (computer, printer, etc.)",poor management,poor management,connectivity (internet connection),cyber security,feeling left out and/or isolated,35
158,1957,female,health care and social assistance,medical and other health care services,professionals,health professionals,more than 200,no,single person,more than 5 years,metro,less than 10% of my time,4.0,4.0,4.0,4.0,3.0,3.0,less than 10% of my time,less than 10% of my time,2.0,4.0,2.0,2.0,3.0,2.0,less than 10% of my time,less than 10% of my time,1,3,1,i 10% less productive when working remotely,1.5,7.5,2.0,2.0,0.5,7.0,3.0,1.0,preparing for work and commuting,my work-life balance,preparing for work and commuting,my opportunities to socialise,preparing for work and commuting,my working relationships,my work-life balance,my opportunities to socialise,my daily expenses,my personal relationships,my job satisfaction,my mental wellbeing,difficulty collaborating remotely,connectivity (internet connection),i have tasks that can't be done remotely,caring responsibilities,cyber security,connectivity (internet connection),68
159,1971,male,wholesale trade,"grocery, liquor and tobacco product wholesaling",managers,"chief executives, general managers and legislators",more than 200,yes,couple with dependent children,between 1 and 5 years,metro,50% - i spent about half of my time remote working,5.0,4.0,4.0,4.0,3.0,3.0,50% - about half of my time,50% - i spent about half of my time remote working,5.0,4.0,4.0,3.0,3.0,4.0,50% - about half of my time,50% - about half of my time,5,4,4,i 40% less productive when working remotely,1.0,7.0,5.0,1.0,1.0,3.0,6.0,1.0,preparing for work and commuting,my on-the-job learning opportunities,my opportunities to socialise,preparing for work and commuting,my daily expenses,preparing for work and commuting,the number of hours  i work,my work-life balance,my on-the-job learning opportunities,my job satisfaction,my job satisfaction,my mental wellbeing,connectivity (internet connection),lack of motivation,i have tasks that can't be done remotely,poor management,connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",54
160,1987,female,education and training,tertiary education,professionals,education professionals,more than 200,no,couple with dependent children,between 1 and 5 years,metro,50% - i spent about half of my time remote working,3.0,3.0,3.0,3.0,3.0,4.0,50% - about half of my time,50% - i spent about half of my time remote working,3.0,3.0,3.0,3.0,3.0,3.0,50% - about half of my time,50% - about half of my time,3,3,3,my productivity is about same when i work remotely,2.0,7.0,4.0,0.0,0.0,8.0,9.0,7.0,my work-life balance,my working relationships,my opportunities to socialise,managing my family responsibilities,my working relationships,managing my family responsibilities,my work-life balance,my opportunities to socialise,the number of hours  i work,my daily expenses,managing my personal commitments,my opportunities to socialise,"it equipment (computer, printer, etc.)",feeling left out and/or isolated,feeling left out and/or isolated,caring responsibilities,cyber security,my organisation's software and systems,38
161,1967,male,"rental, hiring and real estate services",property operators and real estate services,managers,specialist managers,between 1 and 4,yes,couple with dependent children,more than 5 years,regional,rarely or never,,,,,,,i would not have preferred to work remotely,30%,3.0,2.0,2.0,2.0,2.0,2.0,i would not have preferred to work remotely,i would prefer not to work remotely,2,2,2,i 30% less productive when working remotely,1.0,8.0,2.0,1.0,0.0,5.0,4.0,1.0,the number of hours  i work,my work-life balance,managing my personal commitments,my mental wellbeing,my job satisfaction,managing my family responsibilities,the number of hours  i work,my mental wellbeing,the number of hours  i work,my work-life balance,managing my personal commitments,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),58
162,1964,female,administrative and support services,administrative services,clerical and administrative,clerical and office support,between 20 and 199,no,single person,more than 5 years,metro,20%,4.0,4.0,4.0,4.0,4.0,4.0,20%,20%,4.0,4.0,4.0,4.0,4.0,4.0,20%,20%,4,4,4,i 50% more productive when working remotely (or more),1.0,8.0,2.0,2.0,1.0,8.0,2.0,2.0,the number of hours  i work,my work-life balance,preparing for work and commuting,my working relationships,preparing for work and commuting,my personal relationships,the number of hours  i work,my work-life balance,the number of hours  i work,my work-life balance,my job satisfaction,managing my personal commitments,connectivity (internet connection),cyber security,connectivity (internet connection),feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,61
163,1976,female,"professional, scientific and technical services",computer system design and related services,clerical and administrative,clerical and office support,between 20 and 199,no,couple with dependent children,between 1 and 5 years,metro,40%,4.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,5,5,5,i 20% more productive when working remotely,1.0,8.0,1.0,3.0,0.0,8.0,2.0,3.0,managing my family responsibilities,the number of hours  i work,managing my family responsibilities,my opportunities to socialise,managing my family responsibilities,my working relationships,my work-life balance,the number of hours  i work,my work-life balance,the number of hours  i work,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)","it equipment (computer, printer, etc.)",poor management,i have tasks that can't be done remotely,49
164,1990,female,other services,private households employing staff and undifferentiated goods,managers,"chief executives, general managers and legislators",between 5 and 19,yes,one  parent family with dependent children,between 1 and 5 years,metro,less than 10% of my time,3.0,3.0,3.0,3.0,3.0,3.0,i would not have preferred to work remotely,10%,3.0,3.0,3.0,3.0,3.0,3.0,90%,100% - all of my time,3,3,3,i 50% more productive when working remotely (or more),5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,my working relationships,my work-life balance,my working relationships,preparing for work and commuting,my working relationships,preparing for work and commuting,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my work-life balance,my personal relationships,my job satisfaction,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,35
165,1965,female,administrative and support services,administrative services,clerical and administrative,office managers and program administrators,between 5 and 19,no,couple with no dependent children,between 1 and 5 years,metro,50% - i spent about half of my time remote working,4.0,4.0,4.0,4.0,4.0,4.0,50% - about half of my time,80%,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,50% - about half of my time,4,4,4,my productivity is about same when i work remotely,2.0,8.0,3.0,1.0,1.0,7.0,3.0,1.0,preparing for work and commuting,managing my family responsibilities,my mental wellbeing,my opportunities to socialise,my daily expenses,my working relationships,the number of hours  i work,my work-life balance,my job satisfaction,the number of hours  i work,my opportunities to socialise,managing my personal commitments,difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,caring responsibilities,cyber security,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",60
166,1970,female,education and training,preschool and school education,professionals,education professionals,more than 200,yes,couple with dependent children,more than 5 years,metro,10%,2.0,2.0,2.0,4.0,4.0,4.0,30%,90%,5.0,2.0,5.0,5.0,4.0,5.0,100% - all of my time,50% - about half of my time,1,1,1,i 10% more productive when working remotely,1.0,6.0,3.0,2.0,0.0,7.0,4.0,4.0,my work-life balance,my on-the-job learning opportunities,preparing for work and commuting,my working relationships,my daily expenses,my job satisfaction,my work-life balance,my opportunities to socialise,my daily expenses,my on-the-job learning opportunities,my daily expenses,my personal relationships,"it equipment (computer, printer, etc.)",poor management,my organisation's software and systems,caring responsibilities,lack of motivation,i have tasks that can't be done remotely,55
167,1967,male,other services,personal and other services,managers,"chief executives, general managers and legislators",between 20 and 199,yes,one  parent family with dependent children,between 1 and 5 years,metro,rarely or never,,,,,,,50% - about half of my time,20%,4.0,4.0,4.0,4.0,4.0,3.0,100% - all of my time,40%,2,2,4,my productivity is about same when i work remotely,1.0,8.0,1.0,0.0,0.0,10.0,0.5,0.5,the number of hours  i work,my working relationships,my mental wellbeing,my opportunities to socialise,my working relationships,my daily expenses,managing my personal commitments,the number of hours  i work,my personal relationships,my work-life balance,my opportunities to socialise,my daily expenses,connectivity (internet connection),cyber security,connectivity (internet connection),"it equipment (computer, printer, etc.)",connectivity (internet connection),"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",58
168,1989,female,information media and telecommunications,telecommunications services,professionals,"business, human resource and marketing professionals",more than 200,no,single person,more than 5 years,metro,60%,5.0,5.0,5.0,5.0,5.0,5.0,70%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,70%,80%,5,5,5,i 30% more productive when working remotely,1.0,5.0,2.0,2.0,0.0,8.0,4.0,2.0,my work-life balance,my working relationships,managing my personal commitments,my mental wellbeing,preparing for work and commuting,my working relationships,my work-life balance,my mental wellbeing,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my mental wellbeing,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,36
169,1965,male,construction,building construction,technicians and trades,construction trades,i am the only employee,no,single person,more than 5 years,metro,10%,3.0,3.0,3.0,3.0,3.0,3.0,10%,less than 10% of my time,3.0,3.0,3.0,3.0,3.0,3.0,10%,i would prefer not to work remotely,3,3,3,i 20% more productive when working remotely,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,my on-the-job learning opportunities,the number of hours  i work,my working relationships,preparing for work and commuting,my job satisfaction,preparing for work and commuting,my work-life balance,my opportunities to socialise,my job satisfaction,my personal relationships,my opportunities to socialise,my job satisfaction,caring responsibilities,lack of motivation,feeling left out and/or isolated,connectivity (internet connection),connectivity (internet connection),my organisation's software and systems,60
170,1983,female,administrative and support services,administrative services,clerical and administrative,other clerical and administrative,more than 200,no,couple with no dependent children,between 1 and 5 years,metro,20%,2.0,2.0,3.0,2.0,3.0,4.0,80%,100% - i spent all of my time remote working,5.0,3.0,3.0,4.0,5.0,5.0,100% - all of my time,80%,5,5,5,i 20% more productive when working remotely,3.5,8.0,4.0,0.0,0.0,9.0,5.0,0.0,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,preparing for work and commuting,my job satisfaction,my work-life balance,my opportunities to socialise,my work-life balance,my on-the-job learning opportunities,my personal relationships,my opportunities to socialise,feeling left out and/or isolated,feeling left out and/or isolated,feeling left out and/or isolated,caring responsibilities,lack of motivation,i have tasks that can't be done remotely,42
171,1978,female,administrative and support services,administrative services,community and personal service,hospitality,between 5 and 19,no,couple with no dependent children,between 1 and 5 years,metro,50% - i spent about half of my time remote working,4.0,4.0,2.0,4.0,4.0,5.0,80%,100% - i spent all of my time remote working,4.0,4.0,5.0,5.0,5.0,5.0,100% - all of my time,80%,1,1,2,my productivity is about same when i work remotely,1.0,8.0,2.0,0.5,0.0,4.0,6.0,2.0,my work-life balance,my working relationships,my mental wellbeing,my working relationships,preparing for work and commuting,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,my job satisfaction,my mental wellbeing,my job satisfaction,poor management,poor management,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",caring responsibilities,feeling left out and/or isolated,connectivity (internet connection),47
172,1989,female,other services,repair and maintenance,technicians and trades,other technicians and trades,between 1 and 4,yes,couple with dependent children,more than 5 years,metro,less than 10% of my time,1.0,1.0,1.0,1.0,3.0,2.0,10%,less than 10% of my time,1.0,1.0,1.0,1.0,1.0,1.0,less than 10% of my time,i would prefer not to work remotely,1,1,1,my productivity is about same when i work remotely,0.2,8.0,2.0,2.0,0.2,8.0,2.0,2.0,my on-the-job learning opportunities,my work-life balance,my opportunities to socialise,preparing for work and commuting,my job satisfaction,my personal relationships,managing my personal commitments,my mental wellbeing,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my mental wellbeing,feeling left out and/or isolated,feeling left out and/or isolated,i have tasks that can't be done remotely,caring responsibilities,lack of motivation,connectivity (internet connection),36
173,1985,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,ict professionals,more than 200,no,couple with dependent children,between 1 and 5 years,metro,10%,2.0,2.0,2.0,1.0,4.0,5.0,50% - about half of my time,100% - i spent all of my time remote working,4.0,2.0,4.0,4.0,4.0,5.0,100% - all of my time,50% - about half of my time,4,4,2,my productivity is about same when i work remotely,1.0,9.0,2.0,2.0,0.0,8.0,3.0,2.0,my work-life balance,the number of hours  i work,managing my family responsibilities,preparing for work and commuting,my personal relationships,my job satisfaction,managing my personal commitments,my opportunities to socialise,my work-life balance,the number of hours  i work,my job satisfaction,my opportunities to socialise,caring responsibilities,cyber security,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",connectivity (internet connection),lack of motivation,connectivity (internet connection),40
174,1976,female,public administration and safety,public administration,clerical and administrative,other clerical and administrative,more than 200,no,single person,between 1 and 5 years,metro,less than 10% of my time,1.0,2.0,2.0,2.0,3.0,3.0,50% - about half of my time,60%,4.0,3.0,4.0,4.0,3.0,4.0,50% - about half of my time,50% - about half of my time,3,3,3,my productivity is about same when i work remotely,3.5,7.0,2.0,0.0,0.0,8.0,8.0,1.0,preparing for work and commuting,my working relationships,preparing for work and commuting,my working relationships,my daily expenses,my working relationships,my work-life balance,my on-the-job learning opportunities,my work-life balance,my on-the-job learning opportunities,my daily expenses,managing my personal commitments,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),caring responsibilities,lack of motivation,feeling left out and/or isolated,49
175,1990,female,accommodation and food services,food and beverage services,managers,"hospitality, retail and service managers",between 20 and 199,yes,couple with dependent children,between 1 and 5 years,metro,10%,5.0,5.0,4.0,5.0,5.0,5.0,20%,30%,5.0,5.0,5.0,5.0,5.0,5.0,40%,10%,4,5,5,my productivity is about same when i work remotely,0.2,8.0,4.0,2.0,0.0,5.0,5.0,4.0,managing my family responsibilities,my working relationships,my mental wellbeing,my opportunities to socialise,my daily expenses,my job satisfaction,the number of hours  i work,my on-the-job learning opportunities,the number of hours  i work,my on-the-job learning opportunities,managing my personal commitments,my job satisfaction,feeling left out and/or isolated,feeling left out and/or isolated,i have tasks that can't be done remotely,connectivity (internet connection),lack of motivation,poor management,35
176,1956,female,"professional, scientific and technical services","professional, scientific and technical services",professionals,education professionals,i am the only employee,no,single person,more than 5 years,metro,less than 10% of my time,3.0,3.0,5.0,3.0,4.0,5.0,100% - all of my time,100% - i spent all of my time remote working,3.0,3.0,5.0,3.0,4.0,5.0,100% - all of my time,100% - all of my time,3,3,3,i 30% more productive when working remotely,0.5,6.0,0.0,0.0,0.0,3.0,0.0,0.0,the number of hours  i work,my working relationships,my mental wellbeing,preparing for work and commuting,my job satisfaction,preparing for work and commuting,my mental wellbeing,the number of hours  i work,my job satisfaction,the number of hours  i work,my mental wellbeing,my daily expenses,"it equipment (computer, printer, etc.)",lack of motivation,i have tasks that can't be done remotely,caring responsibilities,feeling left out and/or isolated,feeling left out and/or isolated,69
177,1995,female,other services,personal and other services,professionals,arts and media professionals,i am the only employee,no,couple with no dependent children,between 6 and 12 months,metro,70%,3.0,4.0,4.0,3.0,3.0,4.0,90%,80%,3.0,5.0,5.0,3.0,5.0,5.0,100% - all of my time,60%,3,4,4,my productivity is about same when i work remotely,1.0,8.0,6.0,2.0,0.5,6.0,8.0,5.0,my work-life balance,my working relationships,managing my family responsibilities,my opportunities to socialise,my personal relationships,my working relationships,the number of hours  i work,my on-the-job learning opportunities,my daily expenses,my job satisfaction,managing my personal commitments,my job satisfaction,poor management,lack of motivation,feeling left out and/or isolated,caring responsibilities,feeling left out and/or isolated,my organisation's software and systems,30
178,1977,female,health care and social assistance,hospitals,professionals,health professionals,more than 200,yes,couple with dependent children,more than 5 years,metro,10%,4.0,5.0,3.0,4.0,4.0,3.0,10%,20%,3.0,3.0,4.0,5.0,3.0,4.0,20%,10%,3,5,4,i 10% more productive when working remotely,5.0,5.0,5.0,9.0,5.0,5.0,5.0,9.0,managing my family responsibilities,preparing for work and commuting,managing my personal commitments,my mental wellbeing,my daily expenses,preparing for work and commuting,the number of hours  i work,my on-the-job learning opportunities,my job satisfaction,my work-life balance,managing my personal commitments,my personal relationships,"it equipment (computer, printer, etc.)",cyber security,i have tasks that can't be done remotely,connectivity (internet connection),poor management,feeling left out and/or isolated,48
179,1975,male,administrative and support services,administrative services,professionals,ict professionals,between 5 and 19,yes,couple with dependent children,more than 5 years,metro,50% - i spent about half of my time remote working,5.0,5.0,5.0,4.0,5.0,4.0,100% - all of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,5,5,5,i 50% more productive when working remotely (or more),3.0,8.0,8.0,5.0,3.0,8.0,8.0,5.0,my on-the-job learning opportunities,my working relationships,my mental wellbeing,preparing for work and commuting,my daily expenses,preparing for work and commuting,my work-life balance,the number of hours  i work,my daily expenses,my on-the-job learning opportunities,my mental wellbeing,my job satisfaction,caring responsibilities,lack of motivation,i have tasks that can't be done remotely,connectivity (internet connection),poor management,feeling left out and/or isolated,50
180,1961,male,manufacturing,machinery and equipment manufacturing,managers,specialist managers,between 20 and 199,yes,couple with no dependent children,more than 5 years,metro,60%,2.0,5.0,2.0,4.0,5.0,5.0,100% - all of my time,100% - i spent all of my time remote working,3.0,5.0,3.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,3,3,4,i 50% more productive when working remotely (or more),3.5,8.0,5.0,7.5,0.0,6.5,9.5,8.0,the number of hours  i work,my working relationships,managing my personal commitments,my working relationships,my daily expenses,my working relationships,managing my personal commitments,my opportunities to socialise,the number of hours  i work,my on-the-job learning opportunities,my mental wellbeing,my opportunities to socialise,poor management,connectivity (internet connection),my organisation's software and systems,feeling left out and/or isolated,lack of motivation,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",64
181,1973,female,other services,personal and other services,community and personal service,sports and personal service,i am the only employee,no,couple with no dependent children,more than 5 years,regional,10%,3.0,5.0,3.0,3.0,3.0,3.0,10%,10%,3.0,3.0,4.0,3.0,3.0,4.0,40%,50% - about half of my time,4,4,4,my productivity is about same when i work remotely,0.5,4.0,4.0,4.0,0.5,2.0,6.0,4.0,managing my family responsibilities,the number of hours  i work,managing my family responsibilities,my opportunities to socialise,my job satisfaction,managing my family responsibilities,the number of hours  i work,my opportunities to socialise,the number of hours  i work,my on-the-job learning opportunities,managing my personal commitments,my opportunities to socialise,caring responsibilities,cyber security,i have tasks that can't be done remotely,connectivity (internet connection),feeling left out and/or isolated,"my workspace (e.g. suitable chair, lighting, noise levels, facilities)",52
182,1969,female,construction,building construction,clerical and administrative,numerical clerks,between 20 and 199,no,single person,between 1 and 5 years,metro,rarely or never,,,,,,,80%,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,2.0,5.0,90%,90%,5,5,5,i 20% more productive when working remotely,2.5,7.5,3.5,3.0,0.5,7.5,5.5,3.0,my work-life balance,my working relationships,managing my personal commitments,my working relationships,my daily expenses,my working relationships,my work-life balance,my opportunities to socialise,my work-life balance,my on-the-job learning opportunities,my daily expenses,my opportunities to socialise,feeling left out and/or isolated,lack of motivation,poor management,caring responsibilities,lack of motivation,i have tasks that can't be done remotely,56
183,1995,male,construction,building construction,managers,specialist managers,between 20 and 199,yes,couple with dependent children,between 1 and 5 years,metro,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - i spent all of my time remote working,5.0,5.0,5.0,5.0,5.0,5.0,100% - all of my time,100% - all of my time,5,5,5,i 50% more productive when working remotely (or more),2.0,8.0,7.0,7.0,2.0,9.0,7.0,6.0,my work-life balance,my on-the-job learning opportunities,my mental wellbeing,my opportunities to socialise,my job satisfaction,my personal relationships,the number of hours  i work,my opportunities to socialise,my personal relationships,my job satisfaction,my job satisfaction,my personal relationships,caring responsibilities,lack of motivation,my organisation's software and systems,connectivity (internet connection),poor management,i have tasks that can't be done remotely,30
184,1973,male,information media and telecommunications,"internet service providers, web search portals and data processing services",technicians and trades,"engineering, ict and science technicians",more than 200,no,couple with dependent children,more than 5 years,metro,20%,3.0,5.0,5.0,4.0,3.0,3.0,less than 10% of my time,20%,3.0,5.0,4.0,3.0,3.0,3.0,10%,i would prefer not to work remotely,2,2,2,i 20% less productive when working remotely,2.0,8.0,4.0,3.0,0.5,8.0,6.0,3.0,my work-life balance,managing my family responsibilities,preparing for work and commuting,managing my family responsibilities,preparing for work and commuting,managing my family responsibilities,my work-life balance,managing my personal commitments,my work-life balance,my on-the-job learning opportunities,managing my personal commitments,my opportunities to socialise,difficulty collaborating remotely,lack of motivation,i have tasks that can't be done remotely,connectivity (internet connection),connectivity (internet connection),connectivity (internet connection),52
