id,birth_year,gender,tenure,industry,occupation,org_size,household,metro_or_regional,time_q4_2020,time_q4_2020_1,time_rem_2021,pref_time_2021,pref_time_future,these_questions_are_about,in_the_past_6,how_often_do_you,how_often_would_you,does_your_employer_have,how_much_of_your,thinking_about_your_employer,thinking_about_your_employer_1,thinking_about_your_employer_2,thinking_about_your_employer_3,how_do_you_feel,org_encouraged,org_prepared,org_common,permission,collaboration,thinking_about_remote_working,thinking_about_remote_working_1,do_you_think_remote,who_is_most_supportive,org_encourage_future,org_support_future,choice_future,commute_time,think_about_your_experience,caring_time,family_time,think_about_your_experience_1,commute_time_1,think_about_your_experience_2,caring_time_1,family_time_1,think_about_your_experience_3,imagine_your_employer_offered,what_is_the_biggest,have_the_following_barriers,have_the_following_barriers_1,have_the_following_barriers_2,have_the_following_barriers_3,have_the_following_barriers_4,have_the_following_barriers_5,have_the_following_barriers_6,have_the_following_barriers_7,have_the_following_barriers_8,have_the_following_barriers_9,have_the_following_barriers_10,have_the_following_barriers_11,have_the_following_barriers_12,have_the_following_barriers_13,have_the_following_barriers_14,have_the_following_barriers_15,feel_better,more_active,feel_better_1,manages_people,do_employees_you_manage,mgmt_discretion,mgmt_retain,mgmt_recruit,team_collab,mgmt_ease_remote,mgmt_poor_performers,mgmt_prepared_remote,mgmt_focus_results,mgmt_contact,productivity,now_think_about_the,major_barrier1,major_barrier2,major_barrier3,minor_barrier1,minor_barrier2,minor_barrier3,age
197,1974,female,more than 5 years,retail trade,"managers - hospitality, retail and service managers",more than 200,single person,metro,rarely or never,100% - all of my time,rarely or never,50% - about half of my time,i would prefer not to work remotely,yes,no,,,yes,100% - all of my time,5,5,5,5,strongly positive,3,3,3,3,3,3,3,somewhat negative,they are about the same,very unlikely,very unlikely,very unlikely,3.0,7.0,6.0,3.0,5.0,4.0,9.0,4.0,3.0,4.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,2,4,yes,yes,2.0,3.0,4.0,5.0,2.0,4.0,3.0,2.0,4.0,im 10% less productive when working remotely,im 10% less productive when working remotely,difficulty collaborating with remote colleagues,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,interruptions,lack of privacy,interruptions,51
198,1972,female,more than 5 years,information media and telecommunications,"professionals - business, human resource and marketing professionals",between 20 and 199,couple with dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,yes,no,,,no,,5,5,5,2,strongly positive,5,5,5,5,5,2,3,somewhat positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,2.0,8.0,3.0,3.0,8.0,0.0,7.0,3.0,5.0,9.0,yes,0.15,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,4,3,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,53
199,1973,female,between 1 and 5 years,retail trade,sales workers - sales assistants and salespersons,more than 200,one parent family with dependent children,regional,less than 10% of my time,less than 10% of my time,less than 10% of my time,less than 10% of my time,less than 10% of my time,yes,yes,less than 10% of my time,less than 10% of my time,unsure,,4,3,2,3,neither positive nor negative,3,3,3,3,4,2,4,somewhat positive,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,2.0,5.0,6.0,3.0,8.0,0.0,1.0,7.0,8.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,2,4,no,,,,,,,,,,,my productivity is about same when i work remotely,,difficulty collaborating with remote colleagues,lack of appropriate work and meeting spaces,interruptions,lack of privacy,connectivity/internet issues,connectivity/internet issues,52
200,1996,male,between 6 and 12 months,"professional, scientific and technical",professionals - ict professionals,between 20 and 199,couple with no dependent children,metro,30%,30%,rarely or never,30%,70%,no,yes,20%,70%,no,,2,3,1,1,somewhat positive,2,3,1,1,4,2,5,somewhat positive,my direct manger(s),somewhat likely,somewhat unlikely,somewhat likely,2.0,9.0,2.0,3.0,8.0,2.0,9.0,2.0,3.0,8.0,yes,0.3,somewhat worsened,somewhat improved,not a barrier for me,stayed about the same,somewhat worsened,significantly worsened,stayed about the same,significantly improved,significantly worsened,somewhat worsened,not a barrier for me,not a barrier for me,significantly improved,somewhat worsened,somewhat worsened,somewhat improved,4,2,1,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,29
201,1984,female,more than 5 years,"professional, scientific and technical","professionals - business, human resource and marketing professionals",between 5 and 19,group household,metro,80%,80%,60%,60%,50% - about half of my time,yes,no,,,yes,20%,4,4,5,4,strongly positive,5,4,4,5,4,2,3,neither positive nor negative,they are about the same,somewhat likely,somewhat likely,somewhat likely,3.0,8.0,4.0,3.0,6.0,1.0,9.0,4.0,3.0,7.0,yes,0.1,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,4,5,3,no,,,,,,,,,,,im 40% more productive when working remotely,,difficulty collaborating with remote colleagues,problems with audio-visual setup,interruptions,lack of privacy,lack of appropriate work and meeting spaces,lack of appropriate work and meeting spaces,41
202,1971,female,more than 5 years,administrative and support,clerical and administrative workers - personal assistants and secretaries,between 1 and 4,couple with no dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,yes,no,,,no,,5,5,5,4,strongly positive,5,5,5,5,5,1,3,strongly positive,they are about the same,very likely,very likely,very likely,2.0,5.0,4.0,5.0,8.0,0.5,5.0,5.0,5.5,8.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,significantly improved,stayed about the same,not a barrier for me,not a barrier for me,significantly improved,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,5,1,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,54
203,1977,female,more than 5 years,arts and recreation,professionals - arts and media professionals,between 1 and 4,couple with dependent children,regional,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,no,,,no,,5,5,5,3,strongly positive,5,5,5,5,5,1,5,strongly positive,they are about the same,neither unlikely or likely,neither unlikely or likely,very likely,0.0,9.0,3.0,4.0,8.0,0.0,9.0,4.0,3.0,8.0,yes,0.1,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,stayed about the same,somewhat improved,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,5,3,3,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,,,,,,,48
204,1974,male,more than 5 years,public administration and safety,clerical and administrative workers - office managers and program administrators,more than 200,couple with no dependent children,metro,100% - i spent all of my time remote working,80%,100% - i spent all of my time remote working,80%,80%,no,no,,,yes,20%,5,5,5,3,strongly positive,5,4,5,5,4,4,4,strongly positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,0.0,7.0,2.0,7.0,8.0,0.0,7.0,2.0,7.0,8.0,yes,0.05,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,4,4,4,yes,yes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,im 10% more productive when working remotely,im 10% more productive when working remotely,,,,,,,51
205,1958,male,more than 5 years,other services,"managers - chief executives, general managers and legislators",between 1 and 4,couple with no dependent children,metro,less than 10% of my time,20%,20%,20%,20%,no,no,,,no,,3,2,4,5,strongly positive,2,1,3,2,3,5,3,somewhat positive,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,1.0,7.0,3.0,6.0,7.0,0.0,7.0,3.0,6.0,8.0,no,,not a barrier for me,stayed about the same,stayed about the same,somewhat worsened,not a barrier for me,not a barrier for me,somewhat worsened,somewhat worsened,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,3,4,4,yes,no,,,,,,,,,,my productivity is about same when i work remotely,my productivity is about same when i work remotely,,,,,,,67
206,1984,female,between 1 and 5 years,"professional, scientific and technical","professionals - design, engineering, science and transport professionals",between 20 and 199,couple with dependent children,metro,20%,i would not have preferred to work remotely,less than 10% of my time,10%,i would prefer not to work remotely,yes,yes,less than 10% of my time,less than 10% of my time,unsure,,5,4,3,4,somewhat positive,4,4,3,3,5,4,3,somewhat positive,they are about the same,somewhat likely,neither unlikely or likely,somewhat likely,2.0,8.0,2.0,4.0,8.0,3.0,8.0,3.0,2.0,8.0,yes,0.02,somewhat improved,stayed about the same,somewhat worsened,somewhat improved,stayed about the same,significantly improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,significantly improved,somewhat improved,stayed about the same,significantly improved,4,4,3,yes,yes,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,im 40% more productive when working remotely,im 40% more productive when working remotely,interruptions,lack of privacy,interruptions,lack of privacy,problems with audio-visual setup,lack of appropriate work and meeting spaces,41
207,1957,female,more than 5 years,financial and insurance,clerical and administrative workers - clerical and office support workers,more than 200,single person,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,yes,no,,,no,,4,4,4,4,strongly positive,5,4,4,4,4,4,3,strongly positive,they are about the same,somewhat likely,somewhat likely,somewhat likely,0.0,8.0,0.0,4.0,12.0,0.0,8.0,1.0,3.0,12.0,yes,0.1,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,5,4,2,no,,,,,,,,,,,my productivity is about same when i work remotely,,,,,,,,68
208,1989,male,between 6 and 12 months,information media and telecommunications,professionals - ict professionals,between 5 and 19,couple with no dependent children,metro,60%,80%,50% - i spent about half of my time remote working,50% - about half of my time,40%,yes,yes,50% - about half of my time,50% - about half of my time,yes,50% - about half of my time,4,5,4,4,strongly positive,5,5,5,5,5,5,5,strongly positive,senior leadership,somewhat likely,somewhat likely,somewhat likely,2.0,4.0,1.0,5.0,12.0,1.0,8.0,2.0,4.0,9.0,yes,0.57,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,5,5,5,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),interruptions,connectivity/internet issues,connectivity/internet issues,difficulty collaborating with remote colleagues,problems with audio-visual setup,difficulty innovating,36
209,1988,female,between 6 and 12 months,"agriculture, forestry and fishing",community and personal service workers - health and welfare support workers,i am a sole trader/owner-operator,couple with no dependent children,regional,20%,20%,50% - i spent about half of my time remote working,30%,30%,yes,no,,,no,,3,4,2,2,somewhat positive,3,4,2,3,3,2,4,strongly positive,my direct manger(s),somewhat likely,very unlikely,neither unlikely or likely,20.0,,,,4.0,20.0,,,,4.0,no,,somewhat worsened,somewhat improved,somewhat worsened,significantly worsened,significantly worsened,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,significantly worsened,somewhat worsened,somewhat improved,significantly improved,stayed about the same,not a barrier for me,somewhat worsened,2,3,1,no,,,,,,,,,,,im 30% more productive when working remotely,,,,,,,,37
210,1990,male,between 6 and 12 months,information media and telecommunications,"managers - chief executives, general managers and legislators",between 20 and 199,single person,metro,20%,40%,60%,80%,70%,yes,yes,50% - about half of my time,10%,yes,50% - about half of my time,1,2,3,2,neither positive nor negative,4,2,3,3,2,3,2,somewhat positive,senior leadership,somewhat likely,somewhat unlikely,somewhat likely,4.0,3.0,3.0,3.0,11.0,4.0,4.0,4.0,4.0,8.0,yes,0.12,significantly worsened,somewhat worsened,stayed about the same,significantly worsened,somewhat worsened,somewhat worsened,somewhat worsened,significantly worsened,significantly worsened,stayed about the same,significantly worsened,significantly worsened,stayed about the same,stayed about the same,not a barrier for me,somewhat improved,3,2,1,yes,yes,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,im 20% more productive when working remotely,im 20% more productive when working remotely,,,,,,,35
211,1974,female,between 1 and 5 years,wholesale trade,clerical and administrative workers - personal assistants and secretaries,between 20 and 199,couple with dependent children,metro,60%,100% - all of my time,50% - i spent about half of my time remote working,50% - about half of my time,50% - about half of my time,no,no,,,yes,50% - about half of my time,3,3,4,5,somewhat positive,3,2,2,4,4,3,4,somewhat positive,my direct manger(s),neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,3.0,8.0,2.0,3.0,8.0,0.0,10.0,4.0,4.0,6.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,5,no,,,,,,,,,,,my productivity is about same when i work remotely,,noisy work environment,problems with audio-visual setup,interruptions,lack of privacy,connectivity/internet issues,difficulty innovating,51
212,1990,female,more than 5 years,information media and telecommunications,professionals - ict professionals,more than 200,couple with dependent children,metro,10%,20%,20%,10%,less than 10% of my time,yes,yes,10%,10%,yes,10%,4,3,3,3,strongly positive,2,4,5,2,1,4,5,somewhat positive,my direct manger(s),neither unlikely or likely,somewhat likely,very unlikely,2.0,8.0,1.0,6.0,7.0,1.0,6.0,3.0,6.0,8.0,no,,significantly improved,somewhat improved,somewhat improved,somewhat improved,somewhat improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat improved,somewhat worsened,somewhat improved,somewhat worsened,somewhat improved,3,4,5,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,35
213,1964,male,between 1 and 5 years,arts and recreation,managers - specialist managers,between 5 and 19,couple with dependent children,metro,10%,30%,10%,30%,40%,no,no,,,yes,80%,2,2,4,4,somewhat negative,2,2,2,2,4,4,4,somewhat negative,they are about the same,somewhat unlikely,somewhat unlikely,somewhat unlikely,3.5,8.0,2.0,2.5,8.0,0.5,8.5,3.0,4.0,8.0,yes,0.1,stayed about the same,stayed about the same,somewhat improved,stayed about the same,stayed about the same,somewhat improved,stayed about the same,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,stayed about the same,somewhat improved,somewhat improved,somewhat improved,2,4,4,yes,yes,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,im 30% more productive when working remotely,im 30% more productive when working remotely,lack of privacy,problems with audio-visual setup,lack of appropriate work and meeting spaces,noisy work environment,lack of appropriate work and meeting spaces,difficulty innovating,61
214,1960,male,more than 5 years,financial and insurance,"professionals - business, human resource and marketing professionals",i am a sole trader/owner-operator,single person,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,no,no,,,no,,5,5,5,1,strongly positive,5,5,5,5,1,1,4,strongly positive,senior leadership,very likely,neither unlikely or likely,neither unlikely or likely,1.0,5.0,2.0,8.0,8.0,1.0,5.0,2.0,8.0,8.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,somewhat worsened,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,4,2,1,no,,,,,,,,,,,im 30% more productive when working remotely,,,,,,,,65
215,1996,female,between 1 and 5 years,information media and telecommunications,managers - specialist managers,more than 200,couple with no dependent children,metro,10%,50% - about half of my time,90%,80%,80%,no,yes,20%,less than 10% of my time,yes,20%,5,5,5,2,strongly positive,4,5,4,5,4,4,4,somewhat positive,they are about the same,somewhat unlikely,very likely,somewhat likely,2.5,8.0,1.5,4.0,8.0,0.5,9.0,1.5,5.0,8.0,no,,stayed about the same,somewhat worsened,stayed about the same,somewhat improved,somewhat improved,somewhat improved,stayed about the same,somewhat worsened,not a barrier for me,not a barrier for me,somewhat worsened,somewhat improved,significantly improved,stayed about the same,not a barrier for me,stayed about the same,3,5,4,yes,yes,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,im 20% more productive when working remotely,im 20% more productive when working remotely,interruptions,problems with audio-visual setup,connectivity/internet issues,difficulty collaborating with remote colleagues,lack of privacy,difficulty innovating,29
216,1963,female,more than 5 years,"professional, scientific and technical",professionals - health professionals,more than 200,couple with no dependent children,regional,100% - i spent all of my time remote working,100% - all of my time,20%,100% - all of my time,100% - all of my time,yes,yes,20%,less than 10% of my time,yes,80%,1,2,4,5,somewhat negative,4,5,4,4,5,2,4,somewhat positive,senior leadership,somewhat unlikely,somewhat unlikely,somewhat unlikely,5.0,8.0,0.5,2.5,8.0,0.5,9.0,1.0,5.5,8.0,yes,0.1,not a barrier for me,not a barrier for me,somewhat improved,somewhat improved,significantly worsened,somewhat improved,not a barrier for me,not a barrier for me,somewhat improved,not a barrier for me,stayed about the same,somewhat improved,somewhat improved,stayed about the same,not a barrier for me,stayed about the same,5,5,2,no,,,,,,,,,,,im 20% more productive when working remotely,,,,,,,,62
217,1970,male,more than 5 years,information media and telecommunications,"professionals - design, engineering, science and transport professionals",between 5 and 19,couple with dependent children,metro,60%,80%,60%,80%,80%,yes,no,,,no,,5,4,4,2,strongly positive,3,5,5,5,5,1,4,somewhat negative,senior leadership,neither unlikely or likely,neither unlikely or likely,somewhat likely,2.0,7.0,3.0,4.0,8.0,0.0,7.0,4.0,5.0,8.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,somewhat worsened,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,3,3,3,no,,,,,,,,,,,my productivity is about same when i work remotely,,interruptions,lack of appropriate work and meeting spaces,interruptions,difficulty collaborating with remote colleagues,connectivity/internet issues,difficulty innovating,55
218,1987,female,between 6 and 12 months,"electricity, gas, water and waste",sales workers - sales assistants and salespersons,i am a sole trader/owner-operator,one parent family with dependent children,metro,30%,30%,20%,20%,30%,no,no,,,no,,3,4,3,2,somewhat negative,3,2,4,3,4,3,4,somewhat negative,my direct manger(s),somewhat likely,neither unlikely or likely,very unlikely,3.0,7.0,6.0,5.0,3.0,3.0,6.0,5.0,7.0,3.0,no,,somewhat worsened,somewhat worsened,stayed about the same,somewhat worsened,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,somewhat improved,somewhat worsened,somewhat improved,somewhat worsened,somewhat improved,stayed about the same,stayed about the same,stayed about the same,4,4,3,no,,,,,,,,,,,im 20% more productive when working remotely,,interruptions,lack of privacy,interruptions,lack of privacy,connectivity/internet issues,difficulty innovating,38
219,1980,female,between 1 and 5 years,financial and insurance,"professionals - business, human resource and marketing professionals",more than 200,couple with dependent children,metro,50% - i spent about half of my time remote working,50% - about half of my time,50% - i spent about half of my time remote working,50% - about half of my time,40%,yes,yes,50% - about half of my time,50% - about half of my time,yes,50% - about half of my time,4,2,3,4,somewhat positive,4,4,4,4,4,3,3,neither positive nor negative,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,2.0,8.0,3.0,3.0,8.0,4.0,8.0,2.0,4.0,6.0,yes,0.1,stayed about the same,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,significantly worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat worsened,somewhat improved,somewhat worsened,somewhat worsened,significantly worsened,3,3,4,no,,,,,,,,,,,im 50% more productive when working remotely (or more),,lack of privacy,connectivity/internet issues,connectivity/internet issues,noisy work environment,lack of appropriate work and meeting spaces,interruptions,45
220,1978,female,between 1 and 5 years,financial and insurance,managers - specialist managers,more than 200,couple with dependent children,metro,90%,90%,50% - i spent about half of my time remote working,60%,100% - all of my time,no,yes,50% - about half of my time,50% - about half of my time,no,,4,4,4,5,somewhat positive,4,4,4,4,4,4,4,somewhat positive,my direct manger(s),somewhat likely,somewhat likely,somewhat likely,2.0,8.0,4.0,2.0,8.0,0.0,11.0,3.0,2.0,8.0,no,,significantly improved,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,4,4,4,yes,yes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,im 30% more productive when working remotely,im 30% more productive when working remotely,noisy work environment,lack of appropriate work and meeting spaces,difficulty innovating,difficulty collaborating with remote colleagues,problems with audio-visual setup,interruptions,47
221,1994,female,between 1 and 5 years,"transport, postal and warehousing",clerical and administrative workers - general clerical workers,between 20 and 199,one parent family with dependent children,metro,60%,50% - about half of my time,30%,50% - about half of my time,50% - about half of my time,yes,yes,100% - all of my time,50% - about half of my time,yes,80%,2,1,1,5,somewhat positive,5,5,4,4,5,1,2,strongly positive,my direct manger(s),very unlikely,very unlikely,very unlikely,2.0,8.0,2.0,4.0,8.0,0.0,8.0,3.0,4.0,9.0,yes,0.05,stayed about the same,somewhat improved,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,significantly improved,somewhat improved,stayed about the same,significantly improved,stayed about the same,stayed about the same,5,5,1,yes,yes,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,im 50% more productive when working remotely (or more),im 50% more productive when working remotely (or more),interruptions,lack of appropriate work and meeting spaces,interruptions,lack of privacy,connectivity/internet issues,difficulty innovating,31
222,1964,male,more than 5 years,"professional, scientific and technical",sales workers - sales representatives and agents,between 20 and 199,couple with no dependent children,metro,20%,20%,20%,20%,20%,no,yes,20%,20%,no,,5,3,3,5,strongly positive,4,5,4,5,2,1,3,neither positive nor negative,they are about the same,neither unlikely or likely,somewhat likely,somewhat likely,3.0,9.0,2.0,3.0,7.0,0.5,9.0,2.0,5.5,7.0,no,,not a barrier for me,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,somewhat improved,stayed about the same,not a barrier for me,not a barrier for me,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,3,2,4,no,,,,,,,,,,,my productivity is about same when i work remotely,,difficulty collaborating with remote colleagues,connectivity/internet issues,difficulty innovating,interruptions,lack of privacy,lack of appropriate work and meeting spaces,61
223,1987,male,between 6 and 12 months,retail trade,community and personal service workers - hospitality workers,between 1 and 4,one parent family with dependent children,metro,20%,20%,20%,30%,70%,yes,yes,80%,100% - all of my time,yes,60%,1,4,3,3,somewhat positive,4,2,2,2,2,3,4,neither positive nor negative,senior leadership,neither unlikely or likely,very unlikely,somewhat likely,1.0,8.0,4.0,6.0,5.0,2.0,7.0,3.0,6.0,6.0,no,,somewhat worsened,somewhat improved,significantly worsened,stayed about the same,somewhat worsened,somewhat improved,significantly improved,somewhat worsened,stayed about the same,stayed about the same,somewhat worsened,somewhat improved,somewhat improved,somewhat worsened,somewhat worsened,stayed about the same,2,3,3,no,,,,,,,,,,,im 40% more productive when working remotely,,difficulty collaborating with remote colleagues,connectivity/internet issues,connectivity/internet issues,noisy work environment,problems with audio-visual setup,interruptions,38
224,1973,male,more than 5 years,"professional, scientific and technical",professionals - ict professionals,more than 200,couple with no dependent children,metro,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,80%,yes,no,,,no,,5,5,5,4,strongly positive,3,4,2,5,4,1,2,neither positive nor negative,they are about the same,neither unlikely or likely,neither unlikely or likely,very likely,2.0,8.5,1.0,5.0,7.5,0.0,8.5,1.0,7.0,7.5,no,,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,stayed about the same,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,stayed about the same,5,5,3,no,,,,,,,,,,,my productivity is about same when i work remotely,,,,,,,,52
225,1990,female,more than 5 years,information media and telecommunications,professionals - ict professionals,more than 200,couple with dependent children,metro,10%,10%,10%,20%,10%,yes,yes,20%,10%,yes,less than 10% of my time,5,4,5,4,strongly positive,5,5,5,5,5,5,4,strongly positive,my direct manger(s),very likely,somewhat likely,very likely,8.0,2.0,2.0,6.0,6.0,2.0,9.0,3.0,4.0,6.0,yes,0.05,significantly improved,significantly improved,somewhat improved,significantly improved,somewhat improved,significantly improved,significantly improved,significantly improved,significantly improved,somewhat improved,significantly improved,significantly improved,somewhat improved,significantly improved,stayed about the same,somewhat improved,4,5,5,yes,yes,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,im 30% more productive when working remotely,im 30% more productive when working remotely,,,,,,,35
226,1958,female,more than 5 years,health care and social assistance,technicians and trades workers - other technicians and trades workers,more than 200,couple with no dependent children,regional,100% - i spent all of my time remote working,100% - all of my time,100% - i spent all of my time remote working,100% - all of my time,100% - all of my time,yes,no,,,unsure,,5,5,5,4,strongly positive,4,5,5,5,4,3,5,strongly positive,they are about the same,very likely,very likely,very likely,0.5,4.0,3.0,6.5,10.0,0.0,4.0,3.0,7.0,10.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,not a barrier for me,4,4,3,no,,,,,,,,,,,my productivity is about same when i work remotely,,,,,,,,67
227,1969,female,between 1 and 5 years,health care and social assistance,community and personal service workers - health and welfare support workers,more than 200,couple with dependent children,metro,50% - i spent about half of my time remote working,50% - about half of my time,50% - i spent about half of my time remote working,50% - about half of my time,40%,yes,no,,,no,,4,2,3,4,neither positive nor negative,4,4,4,4,4,3,3,neither positive nor negative,they are about the same,neither unlikely or likely,neither unlikely or likely,neither unlikely or likely,2.0,6.0,4.0,4.0,8.0,0.0,6.0,4.0,6.0,8.0,no,,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,somewhat worsened,stayed about the same,stayed about the same,stayed about the same,stayed about the same,3,3,2,no,,,,,,,,,,,my productivity is about same when i work remotely,,lack of privacy,connectivity/internet issues,connectivity/internet issues,difficulty collaborating with remote colleagues,problems with audio-visual setup,interruptions,56
